,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.417673258691758,0.27645227431093017,0.451442105263158,0.5578947368421052,0.5052631578947369
augmentation and label balancing ,0.3910001766652663,0.3454953004213025,0.5675968421052632,0.6842105263157895,0.5052631578947369
augmentation only,0.4445685525853449,0.35212001816657085,0.45180421052631575,0.5894736842105263,0.5052631578947369
label balancing only,0.36809780171772416,0.3375566507737296,0.5653378947368422,0.7157894736842104,0.47368421052631576
