,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.384189297873697,0.21070621147355606,0.4622776363636364,0.6181818181818182,0.4909090909090909
augmentation and label balancing ,0.3516994208375682,0.29049419978046964,0.5550273636363636,0.6936363636363636,0.44545454545454544
augmentation only,0.38454915914353605,0.34711618664902166,0.47514499999999993,0.5990909090909092,0.4827272727272727
label balancing only,0.3231578877492415,0.26485387446284825,0.60796,0.7763636363636364,0.4627272727272727
