,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.41597280613762716,0.27645227431093017,0.44895052631578947,0.5578947368421052,0.5052631578947369
augmentation and label balancing ,0.39248401775103636,0.3454953004213025,0.5670294736842105,0.6842105263157895,0.5052631578947369
augmentation only,0.44710289609388865,0.35212001816657085,0.4496568421052632,0.5894736842105263,0.5052631578947369
label balancing only,0.3712097501016705,0.3375566507737296,0.5565715789473685,0.7157894736842104,0.47368421052631576
