"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE","ARC_LENGTH","CURVATURE_MAX_COUNT"
"E2_t5_aug_perturb_Y","1","0","0","0","0","11.84","0","0.047177004336023565","2.391625965842996","5"
"E2_t6_aug_perturb_X","0","0","2","29","0","17.84","0","0.049592082599164616","3.7352586535166834","4"
"E2_t6_aug_perturb_Y","0","0","2","29","0","17.84","0","0.051621179168248967","3.826420780189035","7"
"E2_t7_aug_perturb_X","2","0","4","61","0","26.84","0","0.03272164410001786","3.972482313878291","5"
"E2_t7_aug_perturb_Y","2","0","4","61","0","26.84","0","0.03302946476593108","3.971721249342499","10"
"E2_t8_aug_perturb_X","1","0","0","0","0","16.0","0","0.04399507673955085","2.940469245715685","3"
"E2_t8_aug_perturb_Y","1","0","0","0","0","16.0","0","0.04424258505019669","2.893061934958305","4"
"E2_t9_aug_perturb_X","2","0","0","0","0","19.64","0","0.03911861204351353","3.391463382283489","6"
"E2_t9_aug_perturb_Y","2","0","0","0","0","19.64","0","0.04134456442821633","3.5392251773051653","10"
"E3_t1_aug_perturb_X","1","0","1","16","0","18.0","0","0.041976689607469524","2.69205441091313","6"
"E3_t1_aug_perturb_Y","1","0","1","16","0","18.0","0","0.04211915942698718","2.5909702372223893","8"
"E3_t10_aug_perturb_X","0","0","0","0","0","8.76","0","0.05076216294349101","1.9102426885616863","2"
"E3_t10_aug_perturb_Y","0","0","0","0","0","8.76","0","0.05058163215044572","1.9204824935040283","5"
"E3_t11_aug_perturb_X","1","0","2","19","0","15.64","0","0.03818641321588698","2.634883594641693","5"
"E3_t11_aug_perturb_Y","1","0","2","19","0","15.64","0","0.03680094678298417","2.5490663008359533","5"
"E3_t12_aug_perturb_X","2","0","0","0","0","14.8","0","0.040317413808620285","2.343699001879994","10"
"E3_t12_aug_perturb_Y","2","0","0","0","0","14.8","0","0.03964981315925992","2.352340081003458","3"
"E3_t2_aug_perturb_X","2","0","1","22","0","18.96","0","0.03526884700035735","2.7187279833748748","12"
"E3_t2_aug_perturb_Y","2","0","1","22","0","18.96","0","0.035979849447896735","2.830228349833534","8"
"E3_t3_aug_perturb_X","1","0","0","0","1","8.76","0","0.05187546043699436","1.9294996394271187","1"
"E3_t3_aug_perturb_Y","1","0","0","0","1","8.76","0","0.050710823572344986","1.8924868196839308","3"
"E3_t4_aug_perturb_X","2","0","2","17","0","11.64","0","0.04590164613665298","2.3449970674638907","2"
"E3_t4_aug_perturb_Y","2","0","2","17","0","11.64","0","0.0473479069398387","2.490821024032106","1"
"E3_t5_aug_perturb_X","1","0","1","2","0","7.64","0","0.05014309196057203","1.5632718296896952","2"
"E3_t5_aug_perturb_Y","1","0","1","2","0","7.64","0","0.05306523750998138","1.7341387572504008","1"
"E3_t6_aug_perturb_X","0","0","3","6","0","11.96","0","0.05101371470191857","2.6261564096193872","5"
"E3_t6_aug_perturb_Y","0","0","3","6","0","11.96","0","0.051401488630005994","2.6871753839141554","4"
"E3_t7_aug_perturb_X","2","0","1","3","0","18.96","0","0.04171650816323716","3.184248721068277","6"
"E3_t7_aug_perturb_Y","2","0","1","3","0","18.96","0","0.04213625799334826","3.217076513504371","6"
"E3_t8_aug_perturb_X","2","0","1","2","0","12.76","0","0.05493943261427457","2.8208323013705936","1"
"E3_t8_aug_perturb_Y","2","0","1","2","0","12.76","0","0.05534044981226208","2.7597993954960427","4"
"E3_t9_aug_perturb_X","1","0","1","2","0","10.8","0","0.046774798458043616","2.240508033062454","1"
"E3_t9_aug_perturb_Y","1","0","1","2","0","10.8","0","0.0484242455990935","2.300264956830467","4"
"E4_t1_aug_perturb_X","1","0","1","23","0","23.56","0","0.03654210074190339","3.3202251343092657","10"
"E4_t1_aug_perturb_Y","1","0","1","23","0","23.56","0","0.03743216460013505","3.3916700946531493","13"
"E4_t10_aug_perturb_X","3","0","1","2","6","14.64","0","0.061571816245304986","3.323132289627535","2"
