"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE_X","VARIANCE_Y","STD_DXDY","STD_DDXDDY","MOTION_SMOOTHNESS","SNAP","ARCLENGTH","CURVATUREMAXCOUNT"
"T1_1_t7_aug_pertub_X,perturb_Y","2","0","0","0","2","34.8","0","0.08255836978858808","0.04338520698686565","0.02915223833292151","0.030288965323787772","10.749360082243337","0.8421846229699367","4.22012997385041","14"
"T1_1_t8_aug_perturb_X","0","0","2","2","4","47.76","0","0.014651516482432037","0.05681750508841785","0.0361700105780076","0.03720237125268993","13.06711161414942","1.2212815011177298","7.227364171211854","17"
"T1_1_t8_aug_perturb_Y","0","0","2","2","4","47.76","0","0.014533577409903221","0.05697312661693989","0.03638468904418275","0.03789228062620166","13.027467013641669","1.2659156697766214","7.186235089660427","16"
"T1_1_t8_aug_pertub_X,perturb_Y","0","0","2","2","4","47.76","0","0.014533577409903221","0.05673938179298569","0.03615213051041758","0.03722792729983242","12.94930847621244","1.2276843444026868","7.134687450693424","18"
"T1_1_t9_aug_perturb_X","1","0","0","0","2","58.76","0","0.010570480170995523","0.070276676137811","0.031110193370679905","0.036926686629297066","18.45602505121615","1.3461397682751257","6.395196735550565","23"
"T1_1_t9_aug_perturb_Y","1","0","0","0","2","58.76","0","0.010242830545184994","0.06915257686413842","0.03311012230536249","0.04234883990262133","18.2467035067208","1.5783236044145037","6.9187318253705765","20"
"T1_1_t9_aug_pertub_X,perturb_Y","1","0","0","0","2","58.76","0","0.010242830545184994","0.0695813590519637","0.033929522885078604","0.043642633621042294","18.144020356896053","1.608987445441353","7.014449450176721","28"
"T3_2_t1_aug_perturb_X","2","0","0","0","1","23.0","0","0.016180774594201107","0.05558886297756462","0.033368120977626765","0.03355053615302917","11.26625394007923","0.7515660916478019","3.1648445375356355","8"
"T3_2_t1_aug_perturb_Y","2","0","0","0","1","23.0","0","0.01666931761090242","0.05598810856682928","0.033956878853270124","0.03502392742817594","11.376833093108784","0.794446701322162","3.140355712114006","4"
"T3_2_t1_aug_pertub_X,perturb_Y","2","0","0","0","1","23.0","0","0.01666931761090242","0.05590911915701065","0.033894484555543204","0.03535033480200799","11.30566219326531","0.7798164771801214","3.1610330369644095","7"
