"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE_X","VARIANCE_Y","STD_DXDY","STD_DDXDDY","MOTION_SMOOTHNESS","SNAP","ARCLENGTH","CURVATUREMAXCOUNT"
"E1_t10","2","0","2","18","0","11.96","0","0.06615642309005396","0.021848704037475616","0.05282094094165767","0.045119366483467704","5.844098115259508","0.7229734834223664","2.7503501377594097","1"
"E1_t11","1","1","1","15","0","12.96","0","0.011033034027425491","0.05356254523054274","0.048059820863831995","0.04090643094297135","5.064002241682136","0.665942807458862","2.638572574106485","5"
"E1_t12","1","0","3","21","0","20.96","0","0.058970599996539294","0.06581310153307243","0.03956399638602385","0.039284421503442864","10.439907452596277","0.8721438007260189","3.522527520385354","10"
"E1_t1","2","1","1","7","5","19.96","0","0.017414532362128567","0.03058160317613116","0.06260897738078354","0.09045823823565911","9.320179334612437","1.8739949177347364","3.8744838094886154","8"
"E1_t2","0","0","1","3","0","10.64","0","0.05320765701801154","0.04238137850637693","0.03923938382542628","0.04332457303612244","5.968800698647685","0.689265961605049","1.8863963810206368","7"
"E1_t3","0","0","2","15","3","8.96","0","0.0143419722196866","0.019437040689604796","0.05892976079342574","0.06504038712801714","4.0129237489123595","0.8693525314475756","2.0869972332326046","3"
"E1_t4","1","0","1","14","4","16.84","0","0.060217179961965336","0.05546549829720806","0.05787762715430274","0.06367951042662107","8.925620646313154","1.2498264865700766","3.8584075770165676","7"
"E1_t5","1","0","1","12","3","11.0","0","0.015271383804127847","0.022430568363852474","0.061005371390542726","0.06234092069012017","4.282661446106834","0.9391401647312608","2.5891913315914277","4"
"E1_t6","2","0","1","13","0","12.96","0","0.047717937580478924","0.0798714375396528","0.06229714777023381","0.0515915941091966","8.980525073817653","0.7895507705873338","3.3082889447515424","4"
"E1_t7","1","1","1","25","0","17.76","0","0.07980106309412084","0.05620942843177471","0.036587170012109343","0.03249509060903708","9.89059012987729","0.6235478617466119","2.6820002555854496","6"
"E1_t8","1","0","3","10","0","12.92","0","0.008362374964238356","0.03333617933092525","0.04353612400462331","0.05630812474787306","3.899237162424836","0.9929587813270915","2.290342647643304","7"
"E1_t9","1","0","1","14","0","7.64","0","0.012575383732734707","0.013160760364971814","0.0561779531792063","0.06025782954814607","2.6658912049489385","0.740422993391405","1.8399206426439123","4"
"E2_t10","0","0","0","0","0","9.56","0","0.017374183408441882","0.019267225395785417","0.06254939261013671","0.08246764956593057","5.263607396581095","1.3245084778195813","2.4446903560813973","4"
"E2_t11","2","0","1","6","0","20.84","0","0.08503070062662323","0.04213025256813931","0.03291537751528499","0.03796136501397143","9.451118304431304","0.8586979289228984","2.8981863730296387","7"
"E2_t12","0","0","3","20","0","27.52","0","0.020830493958108192","0.0590797923465093","0.03910989744036745","0.05344194955931485","10.510177236837132","1.4883455355512443","4.395512316618347","7"
"E2_t1","2","0","1","4","0","20.0","0","0.014114092021391822","0.04685242914121121","0.045962197053588776","0.04528905152408488","9.094635728781007","0.7981826365581348","2.9784748531185086","5"
"E2_t2","2","0","2","34","0","19.84","0","0.08155414655681271","0.018500255306122447","0.03474617667603025","0.043947429951753776","7.0350366926936605","0.9475481500465348","2.8925918183494446","10"
"E2_t3","2","0","1","18","0","11.64","0","0.017168282265113268","0.009827894834943682","0.05192282627697703","0.06571156896729828","3.564579534119504","1.1765489819931139","2.4954085844237235","3"
"E2_t4","1","0","3","15","0","17.64","0","0.07371281737465356","0.022257564626556998","0.04132445827772644","0.03890918827374401","7.36242423339817","0.7786643850490336","2.960011954885551","10"
"E2_t5","1","0","0","0","0","11.84","0","0.015749941150569866","0.016904661308196216","0.045975496560790065","0.04227742610889981","3.294852879234452","0.6889647371205189","2.2533087734797164","6"
"E2_t6","0","0","2","29","0","17.84","0","0.05835444982698962","0.04172634662565054","0.04907781683911139","0.05906798854346508","7.686336014568195","1.3129923971417434","3.6445027367871443","5"
"E2_t7","2","0","4","61","0","26.84","0","0.08874679421363968","0.0607131467086657","0.03191386118873896","0.03472956135575816","11.889818706125393","0.8486969042351329","3.8024641222296025","10"
"E2_t8","1","0","0","0","0","16.0","0","0.01652561899387846","0.045222184872180424","0.04316802147304145","0.03643086072021146","6.02463979766496","0.6704983707459073","2.8406320758752814","6"
"E2_t9","2","0","0","0","0","19.64","0","0.07421157095385038","0.037878714497041416","0.03829271710354921","0.03914238078944963","9.027454355633846","0.8862714067002011","3.3140565372699204","6"
"E3_t10","0","0","0","0","0","8.76","0","0.015737070615953","0.009525273162782472","0.04961883813091342","0.05482867736894533","3.1103765251474758","0.764868296969163","1.8577786119130446","4"
"E3_t11","1","0","2","19","0","15.64","0","0.07224444967004091","0.03365137103533446","0.037135454113719255","0.03883341323898113","7.957413100819151","0.6995132616496252","2.576943442306513","6"
"E3_t12","2","0","0","0","0","14.8","0","0.01627273314398984","0.05951963623431387","0.038330631813582185","0.03555139935639199","7.315035604793531","0.6199819060537287","2.2002961098437708","7"
"E3_t1","1","0","1","16","0","18.0","0","0.012493055687979506","0.02858295578090401","0.040856457601721935","0.04074201634593084","9.190519568326549","0.8437103618560687","2.5695295220839554","8"
"E3_t2","2","0","1","22","0","18.96","0","0.06931101038182116","0.028587336921862574","0.03438613178258578","0.02606222479420034","7.152926677862897","0.5347881357421798","2.6270435454856753","13"
"E3_t3","1","0","0","0","1","8.76","0","0.013195099161644509","0.013055859807006805","0.05036514214202378","0.04809701485251892","2.8625505904775235","0.6596427171463757","1.8756442370686417","1"
"E3_t4","2","0","2","17","0","11.64","0","0.06927568984950751","0.011555977828168303","0.045615979080772695","0.04369639668356037","5.396383869254765","0.6647294589835164","2.3535879420203085","5"
"E3_t5","1","0","1","2","0","7.64","0","0.011587672934095532","0.008777794570821715","0.04942127807899211","0.049084391389236044","2.5035104524585523","0.5386104698441817","1.5309132742446763","2"
"E3_t6","0","0","3","6","0","11.96","0","0.06628539789514465","0.01994557082092096","0.05055774216212624","0.05916103610038811","5.412023533182468","1.0135969521384658","2.579335030635339","3"
"E3_t7","2","0","1","3","0","18.96","0","0.06289126906390083","0.041630589472379506","0.04128033373459119","0.03643536296767122","8.437361691070004","0.7415027679857045","3.0713845778102256","8"
"E3_t8","2","0","1","2","0","12.76","0","0.007788808512766093","0.06180381427237843","0.05349095685168958","0.046719920582211194","5.99688385457244","0.7023057528077178","2.6983640688941546","2"
"E3_t9","1","0","1","2","0","10.8","0","0.06938725198820715","0.020359989038610304","0.046518350057589655","0.03735854813411322","6.272467663926194","0.504120404760671","2.2122292830760837","2"
"E4_t10","3","0","1","2","6","14.64","0","0.022879021034205693","0.035502505292315654","0.06052838990379749","0.05456545379388837","9.02550605100639","0.9263183065624853","3.119268354385336","6"
