,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.6097115578782717,0.5491173313187473,0.3302567272727273,0.4636363636363637,0.5909090909090909
augmentation and label balancing ,0.5583692984421151,0.5515380409335504,0.4020109090909091,0.48909090909090913,0.5109090909090909
augmentation only,0.560976048525278,0.47678376219131735,0.3624071818181819,0.5009090909090909,0.5536363636363637
label balancing only,0.623060436509645,0.5774449905071105,0.3613002727272727,0.4636363636363637,0.5636363636363636
