,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.6581843471585813,0.5205254672264933,0.26500526315789474,0.41052631578947374,0.6210526315789473
augmentation and label balancing ,0.6277508862938348,0.5966580586702552,0.32903052631578944,0.41052631578947374,0.6526315789473683
augmentation only,0.6191116219083209,0.5264082435434665,0.3002894736842105,0.4,0.631578947368421
label balancing only,0.6246116490885336,0.6024731221347355,0.3264431578947368,0.4631578947368421,0.5684210526315789
