,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.45197880099454385,0.37391605029581304,0.2816715454545454,0.33272727272727265,0.7218181818181819
augmentation and label balancing ,0.48905853406233063,0.38865462572764475,0.29066445454545453,0.36090909090909096,0.7209090909090909
augmentation only,0.4167817705656772,0.38275636790257106,0.3418229090909091,0.39636363636363636,0.6854545454545454
label balancing only,0.49969117401374985,0.4300520062216685,0.2938536363636364,0.36,0.6945454545454546
