,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.5009307440513507,0.4444949188240729,0.24221052631578951,0.28421052631578947,0.7789473684210526
augmentation and label balancing ,0.36267450006460134,0.299716011673615,0.3200873684210527,0.43157894736842106,0.6631578947368422
augmentation only,0.42085958791006706,0.449260628362892,0.31882842105263165,0.35789473684210527,0.7052631578947369
label balancing only,0.5098235116254424,0.47328004785386774,0.3237505263157895,0.41052631578947363,0.6842105263157895
