,Correlation: Prediction :labels and Ground Truth Labels,Correlation: Rounded Prediction Labels and Ground Truth Labels,Mean Squared Error Loss Prediction,Mean Squared Error Loss Rounded Prediction labels,Accuracy: Rounded Prediction and Ground Truth Labels
No augmentation,0.5029813612784386,0.4444949188240729,0.2417821052631579,0.28421052631578947,0.7789473684210526
augmentation and label balancing ,0.39582875342366297,0.32932981641547016,0.31364315789473685,0.42105263157894735,0.6736842105263158
augmentation only,0.4211271508306285,0.449260628362892,0.31855157894736846,0.35789473684210527,0.7052631578947369
label balancing only,0.5178427127033836,0.4810808123662529,0.31821894736842105,0.4,0.6947368421052631
